polity_name,polity_code,start_year,end_year,geometry_strategy,proxy_source,notes
Crete,CRE-1898-1913,1898,1913,CSHAPES_DEPENDENT,,
Developed regions,DEDREG-2021-2025,2021,2025,CSHAPES_DEPENDENT,,
Developing regions,DNGREG-2021-2025,2021,2025,CSHAPES_DEPENDENT,,
Dronning Maud Land,DRO-1800-1982,1800,1982,CSHAPES_DEPENDENT,,
Egypt (to 1922),EGY-1800-1922,1800,1922,CSHAPES_DEPENDENT,,
Gambier Island,GAM-1881-1903,1881,1903,CSHAPES_DEPENDENT,,
Gaza Strip,GAZ-1800-1982,1800,1982,CSHAPES_DEPENDENT,,
East Berlin,GEB-1800-1982,1800,1982,CSHAPES_DEPENDENT,,
West Berlin,GWB-1800-1982,1800,1982,CSHAPES_DEPENDENT,,
Gilbert and Ellice Island,GIL-1892-2025,1892,2025,CSHAPES_DEPENDENT,,
India (to 1947),IND-1800-1947,1800,1947,CSHAPES_DEPENDENT,,
Johnston Island,JTN-1800-1982,1800,1982,CSHAPES_DEPENDENT,,
Kiautchou,KIA-1898-1922,1898,1922,CSHAPES_DEPENDENT,,
Kwang-Chou-Wan,KCW-1898-2025,1898,2025,CSHAPES_DEPENDENT,,
Kwantung (Port Arthur),KWA-1898-2025,1898,2025,CSHAPES_DEPENDENT,,
Marquesas Island,MRQ-1844-1903,1844,1903,CSHAPES_DEPENDENT,,
Midway Islands,MID-1859-1982,1859,1982,CSHAPES_DEPENDENT,,
Netherlands Antilles,ANT-1986-2010,1986,2010,CSHAPES_DEPENDENT,,
Netherlands Antilles (original),NET-1800-1986,1800,1986,CSHAPES_DEPENDENT,,
Neutral Zone,NEU-1800-1982,1800,1982,CSHAPES_DEPENDENT,,
Norfolk Island,NFK-1800-1901,1800,1901,CSHAPES_DEPENDENT,,
Palmyra Island,PAL-1889-1912,1889,1912,CSHAPES_DEPENDENT,,
Panama (before Canal Zone),PAN-1800-1979,1800,1979,CSHAPES_DEPENDENT,,
Queensland,QUE-1859-1900,1859,1900,CSHAPES_DEPENDENT,,
Ras al Khaimah,RAS-1919-2025,1919,2025,CSHAPES_DEPENDENT,,
Ryukyu Islands,RYU-1800-1982,1800,1982,CSHAPES_DEPENDENT,,
Saudi Arabia (1924-1932),SAU-1924-1932,1924,1932,CSHAPES_DEPENDENT,,
Society Islands  (Tahiti),SOC-1844-1903,1844,1903,CSHAPES_DEPENDENT,,
South Australia,SOU-1838-1900,1838,1900,CSHAPES_DEPENDENT,,
Spanish North Africa,SPA-1800-1982,1800,1982,CSHAPES_DEPENDENT,,
Straits Settlement,STR-1826-1922,1826,1922,CSHAPES_DEPENDENT,,
Umm al Qawain,UMM-1892-2025,1892,2025,CSHAPES_DEPENDENT,,
United States miscellaneous Pacific Islands,UNI-1800-1982,1800,1982,CSHAPES_DEPENDENT,,
Van Diemen's Land (Tasmania),VAN-1828-1900,1828,1900,CSHAPES_DEPENDENT,,
Victoria,VIC-1853-1900,1853,1900,CSHAPES_DEPENDENT,,
Wake Island,WAK-1898-1982,1898,1982,CSHAPES_DEPENDENT,,
Western Australia,WES-1838-1900,1838,1900,CSHAPES_DEPENDENT,,
