Year,area,Live_anim,item,feedtype,ft,Intake_DM,Intake,Supply,Loss,Loss_share
1969,Haiti,"Cattle, non-dairy",Grassland,grass,grass,1066771.72866943,5333858.64334714,5333858.64334714,0,0
1979,"China, Taiwan","Cattle, non-dairy",Cottonseed,crops,crops,19.9600087186538,21.6956616507106,24.1062907230118,2.41062907230118,0.0999999999999999
1962,Venezuela,Buffalo,Grassland,grass,grass,31808.8970340048,159044.485170024,159044.485170024,0,0
1997,Equatorial Guinea,"Chickens, layers",Cocoa Beans and products,crops,crops,0.476925800647298,0.664253626486949,2.36256252751429,1.69830890102734,0.718841885134855
1997,Denmark,"Cattle, dairy",Sorghum and products,crops,crops,12.0559389939163,13.9375017270709,15.4861130300788,1.54861130300787,0.0999999999999999
2021,"China, mainland",Sheep,Cassava and products,crops,crops,28896.9210324048,69463.7524817423,77181.9472019359,7718.19472019357,0.0999999999999997
1986,Brazil,Goats,"Vegetables, Other",crops,crops,5.749313819887e-4,0.00483135615116554,0.00536817350129505,5.368173501295e-4,0.1
2000,Slovakia,Ducks,Other crop residues,residues,residues,1211.78174084175,1346.92301686745,2086.79531502357,739.872298156121,0.354549530003983
2017,"China, Taiwan",Ducks,Wheat and products,crops,crops,2611.24061212354,2970.69466680721,3770.96935148504,800.274684677825,0.212219885680766
2001,"China, Taiwan",Geese,Sorghum and products,crops,crops,165.281718552696,191.077131274793,254.644906042457,63.567774767664,0.249633011535936
1999,Austria,Ducks,Sunflower seed,crops,crops,0.170799355165167,0.182542951726221,0.202825501918023,0.0202825501918023,0.1
2019,Croatia,Pigs,Potatoes and products,crops,crops,165.548298223419,729.287657371889,890.40625223522,161.118594863331,0.180949532259987
1989,Spain,Turkeys,"Fats, Animals, Raw",animals,animals,192.100406822083,240.125508527604,266.806120586226,26.6806120586226,0.1
1968,Iraq,"Chickens, broilers","Oilcrops, Other",crops,crops,1.06622764005518,1.15904807325502,1.28783119250558,0.128783119250558,0.1
1961,Hungary,Goats,Sugar (Raw Equivalent),crops,crops,6.08568165843442e-16,6.11626297330092e-16,6.79584774811213e-16,6.79584774811213e-17,0.1
1965,Belize,Goats,Grassland,grass,grass,544.632758345746,2723.16379172873,2723.16379172873,0,0
2011,Iran,"Chickens, layers","Cereals, Other",crops,crops,0.422713415135874,0.484439020306608,0.538265578118453,0.0538265578118452,0.0999999999999998
2004,Armenia,Sheep,Molasses,crops,crops,52.7742810609297,70.1319349646906,77.9243721829896,7.79243721829896,0.1
2009,France,Ducks,Palmkernel Cake,crops,crops,1471.47804005958,1609.93221013083,1788.81356681203,178.881356681203,0.0999999999999998
2009,Kazakhstan,"Cattle, dairy",Fodder cereal and grasses,residues,residues_grazers,44857.9089162249,197611.933551652,271937.641923419,74325.7083717676,0.273318941232485
