area_code,item_cbs_code,physical_ha,harvested_ha
21,2662,953.7,908.4
21,2664,697.4,697.4
21,2665,102042.5,96180.5
21,2667,990.5,0.9
21,2671,362687.8,345202.8
21,2672,156679.8,156679.8
21,2807,2192575.9,1604416
23,254,42.8,42.8
23,328,0.4,0.4
23,2514,24171.5,22382.5
23,2518,5760.4,5343.7
23,2531,88,80.8
23,2532,69,63.4
23,2533,24.3,22.1
23,2534,32.4,31.5
23,2535,15.7,14.5
23,2536,39663.5,37282.6
23,2546,7222.7,6975.9
23,2547,1127.2,554.1
23,2549,6.6,6.6
23,2551,337.1,337.1
23,2552,106.6,94.8
23,2555,9504,8273.7
23,2558,0.1,0.1
23,2560,977.4,977.4
23,2561,14.3,14.3
23,2601,76.1,71.6
23,2602,1.4,1.4
23,2605,1549.7,1411.8
23,2611,11754.9,10979.8
23,2612,1.4,1.4
23,2613,2190.3,2065.9
23,2614,0.3,0.3
23,2615,2738.4,2953.3
23,2616,357.8,334.7
23,2617,0.8,0.8
23,2618,348.8,326
23,2620,0.5,0.5
23,2625,1380.9,1299
23,2630,67.9,67.9
23,2633,369.7,369.7
23,2635,0.2,0.2
23,2640,0.2,0.2
23,2645,13.3,13.3
23,2665,0.5,0.5
23,2667,0.1,0.1
23,2671,0.5,0.5
23,2672,10.7,10.7
23,2807,5300,3167.5
25,254,3039.3,3039.3
25,2532,129.3,107.2
25,2533,7160.3,6362.8
25,2535,4293.4,3849.3
25,2560,47060.5,47062.4
25,2605,288.1,246.7
25,2615,128.8,116.8
25,2633,11289.6,11289.6
25,2671,82.3,71.8
25,2807,2096.5,699.5
26,254,741.7,741.7
26,2514,1.1,1.1
26,2532,174.3,173.9
26,2533,36.5,36.2
26,2534,431.3,431.3
26,2535,239.4,239.4
26,2536,0.3,0.2
26,2551,0.6,0.6
26,2560,215.8,215.8
26,2570,9.7,9.7
26,2601,5.6,5.4
26,2605,290.7,85.2
26,2611,54.4,53.6
26,2612,14.6,14.4
26,2613,0.1,0.1
26,2615,510.6,499
26,2618,124.7,122
26,2625,891,860.2
26,2630,0.2,0.2
26,2633,4,4
26,2635,0.2,0.2
26,2640,87.3,67.6
26,2645,0.1,0.1
26,2671,0.8,0.8
26,2672,3374.7,3374.7
26,2807,1008.1,807.2
27,328,642.5,580.7
27,677,330.9,330.9
27,2511,1296993.9,1211520.8
27,2513,124063.2,124063.2
27,2514,611955.8,599080.2
27,2515,4243.3,3855.1
27,2516,8632.9,7665.4
27,2517,3836.3,3836.3
27,2518,3394.5,3159.6
27,2520,11186.6,9815.7
27,2531,10627.1,10279.8
27,2537,1728.5,1728.5
27,2546,1392.2,1392.2
27,2547,14914.6,13608.6
27,2549,15825.3,14405.4
27,2551,9902.6,9731
27,2552,6951.5,6951.5
27,2555,3959.7,3720.8
27,2557,870398.3,822707.7
27,2558,129916.5,123063.8
27,2561,4.3,4.3
27,2563,215.5,215.5
27,2570,6454.2,6099.2
27,2601,3745,3689.9
27,2602,2987.2,2940.7
27,2605,33255,32937
27,2611,20.9,20.9
27,2612,5.2,5.2
27,2613,0.3,0.3
27,2617,4001,3938.4
27,2619,0.3,0.3
27,2620,26656.1,26158.5
27,2625,40771.5,40257.8
27,2635,6,6
27,2645,23594.6,23594.6
27,2664,632.4,632.4
27,2671,3878.1,3817
27,2807,12791.2,12119
28,254,30916.4,30916.4
28,310,42.9,42.9
28,328,179579.7,178927.6
28,677,2.8,2.8
28,2511,60371.9,59961.8
28,2513,201.6,201.6
28,2514,504216.6,500933.2
28,2515,159.1,159.1
28,2516,115.1,115.1
28,2517,155051.8,153804.6
28,2518,146991,145548.6
28,2520,20084.6,19940.6
28,2531,31784.5,31568.5
28,2532,32646.4,32383.2
28,2533,6723.7,6673.2
28,2534,41.2,41.2
28,2535,64562.7,64562.7
28,2536,175953.8,175105
28,2537,30903.6,30903.6
28,2546,3293113.4,3225587.8
28,2547,48293.1,47224.5
28,2549,949053.7,927419.8
28,2551,68423.1,67966.8
28,2552,1067714.3,1054854.4
28,2555,140094.1,138649.1
28,2557,266809.8,264195.8
28,2558,44185.9,43716.2
28,2560,47349.5,47361.5
28,2561,1393517.7,1377211.4
28,2570,12886,12708.4
28,2601,157.5,157.5
28,2602,68545.1,68089.9
28,2605,298736.3,296861.6
28,2611,697.1,697.1
28,2612,44.6,44.6
28,2613,36.2,36.2
28,2614,29.4,29.4
28,2615,559.9,559.9
28,2616,98820.5,98221
28,2617,734.1,734.1
28,2618,178.8,178.8
28,2619,2,2
28,2620,29.8,29.8
