polity_code,polity_name,V1,code,iso3c,FAOSTAT_name,EU27,name,eia,iea,water_code,water_area,baci,fish,region_code,cbs,fabio_code,ADB_Region,region,uISO3c,Lassaletta,region_krausmann,region_HANPP,region_krausmann2,region_UN_sub,region_UN,region_ILO1,region_ILO2,region_ILO3,region_IEA,region_IPCC,region_labour,region_labour_agg,region_labour_mech,region_test
CHL,Chile,40.0,40.0,CHL,Chile,FALSE,Chile,Chile,Chile,40.0,Chile,152,152,4,TRUE,40.0,NA,South America,1.0,Chile,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,South America,Emerging,Annex_II,Andean & Mexico,LACA,no_mech,Other
HKG,"China, Hong Kong SAR",93.0,96.0,HKG,"China, Hong Kong SAR",FALSE,"China, Hong Kong SAR",Hong Kong,"Hong Kong, China",351.0,China,344,344,14,TRUE,96.0,NA,East Asia,1.0,China,Eastern Asia,East Asia,S&E Asia,Eastern Asia,Asia,Asia and the Pacific,Eastern Asia,Eastern Asia,Emerging,Annex_II,Eastern Asia,SE-Asia,no_mech,Other
MAC,"China, Macao SAR",125.0,128.0,MAC,"China, Macao SAR",FALSE,"China, Macao SAR",Macau,,351.0,China,446,446,14,TRUE,128.0,NA,East Asia,1.0,China,Eastern Asia,East Asia,S&E Asia,Eastern Asia,Asia,Asia and the Pacific,Eastern Asia,Eastern Asia,Emerging,Annex_II,Eastern Asia,SE-Asia,no_mech,Other
CHN,"China, mainland",41.0,41.0,CHN,"China, mainland",FALSE,"China, mainland",China,People's Republic of China,351.0,China,156,156,14,TRUE,41.0,NA,East Asia,1.0,China,Eastern Asia,East Asia,S&E Asia,Eastern Asia,Asia,Asia and the Pacific,Eastern Asia,Eastern Asia,Emerging,Annex_II,Eastern Asia,SE-Asia,no_mech,Other
TWN,"China, Taiwan",210.0,214.0,TWN,"China, Taiwan Province of",FALSE,"China, Taiwan Province of",Taiwan,Chinese Taipei,351.0,China,NA,158,14,TRUE,214.0,NA,East Asia,1.0,China,Eastern Asia,East Asia,S&E Asia,Eastern Asia,Asia,Asia and the Pacific,Eastern Asia,Eastern Asia,Emerging,Annex_II,Eastern Asia,SE-Asia,no_mech,Other
COL,Colombia,44.0,44.0,COL,Colombia,FALSE,Colombia,Colombia,Colombia,44.0,Colombia,170,170,4,TRUE,44.0,NA,South America,1.0,Colombia,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,South America,Emerging,Annex_II,Andean & Mexico,LACA,no_mech,Other
COG,Congo,46.0,46.0,COG,Congo,FALSE,Congo,Congo (Brazzaville),Republic of the Congo,46.0,Congo,178,178,6,TRUE,46.0,NA,Western Africa,1.0,Congo,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Central Africa,Emerging,Annex_II,Middle Africa,SAA,no_mech,Other
CRI,Costa Rica,48.0,48.0,CRI,Costa Rica,FALSE,Costa Rica,Costa Rica,Costa Rica,48.0,Costa Rica,188,188,3,TRUE,48.0,NA,Central America,1.0,Costa Rica,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Central America,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other
HRV,Croatia,95.0,98.0,HRV,Croatia,TRUE,Croatia,Croatia,Croatia,98.0,Croatia,191,191,10,TRUE,98.0,HR,Eastern Europe,1.0,Croatia,Eastern and South Eastern Europe,East Europe,Europe,Southern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Emerging,Annex_II,Southern Europe,Europe,mech,Europe
CUB,Cuba,49.0,49.0,CUB,Cuba,FALSE,Cuba,Cuba,Cuba,49.0,Cuba,192,192,3,TRUE,49.0,NA,Central America,1.0,Cuba,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Caribbean,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other
CYP,Cyprus,50.0,50.0,CYP,Cyprus,TRUE,Cyprus,Cyprus,Cyprus,50.0,Cyprus,196,196,12,TRUE,50.0,NA,Middle East,1.0,Cyprus,Northern Africa and Western Asia,North Africa and West Asia,MENA,Western Asia,Asia,Europe and Central Asia,Central and Western Asia,Western Asia,Emerging,Annex_II,Western Asia,MENA,no_mech,Other
CZE,Czechia,164.0,167.0,CZE,Czechia,TRUE,Czech Republic,Czech Republic,Czech Republic,167.0,Czech Republic,203,203,10,TRUE,167.0,CZ,Eastern Europe,1.0,Czech Republic,Eastern and South Eastern Europe,East Europe,Europe,Eastern Europe,Europe,Europe and Central Asia,Eastern Europe,Eastern Europe,Advanced,Annex_I,Eastern Europe,Europe,mech,Europe
CSK,Czechoslovakia,51.0,51.0,CSK,Czechoslovakia,TRUE,Czechoslovakia,Former Czechoslovakia,,167.0,Czech Republic,200,200,9,TRUE,51.0,CZ_SK,OECD Europe,1.0,Czechoslovakia,Western Europe,West Europe,Europe,,,,,,,,,,,
DNK,Denmark,54.0,54.0,DNK,Denmark,TRUE,Denmark,Denmark,Denmark,54.0,Denmark,208,208,9,TRUE,54.0,DK,OECD Europe,1.0,Denmark,Western Europe,West Europe,Europe,Northern Europe,Europe,Europe and Central Asia,"Northern, Southern and Western Europe",Northern Europe,Advanced,Annex_I,Northern Europe,Europe,mech,Europe
DJI,Djibouti,72.0,72.0,DJI,Djibouti,FALSE,Djibouti,Djibouti,,72.0,Djibouti,262,262,7,TRUE,72.0,NA,Eastern Africa,1.0,Djibouti,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other
DMA,Dominica,55.0,55.0,DMA,Dominica,FALSE,Dominica,Dominica,,55.0,Dominica,212,212,3,TRUE,55.0,NA,Central America,1.0,Dominica,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Caribbean,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other
DOM,Dominican Republic,56.0,56.0,DOM,Dominican Republic,FALSE,Dominican Republic,Dominican Republic,Dominican Republic,56.0,Dominican Republic,214,214,3,TRUE,56.0,NA,Central America,1.0,Dominican Republic,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Caribbean,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other
COD,DR Congo,242.0,250.0,COD,Democratic Republic of the Congo,FALSE,DR Congo,Congo (Kinshasa),Democratic Republic of the Congo,250.0,"Congo, Democratic Republic of",180,180,6,TRUE,250.0,NA,Western Africa,1.0,Democratic Republic of the Congo,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Central Africa,Emerging,Annex_II,Middle Africa,SAA,no_mech,Other
ECU,Ecuador,58.0,58.0,ECU,Ecuador,FALSE,Ecuador,Ecuador,Ecuador,58.0,Ecuador,218,218,4,TRUE,58.0,NA,South America,1.0,Ecuador,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,South America,Emerging,Annex_II,Andean & Mexico,LACA,no_mech,Other
EGY,Egypt,59.0,59.0,EGY,Egypt,FALSE,Egypt,Egypt,Egypt,59.0,Egypt,818,818,5,TRUE,59.0,NA,Northern Africa,1.0,Egypt,Northern Africa and Western Asia,North Africa and West Asia,MENA,Northern Africa,Africa,Africa,Northern Africa,Northern Africa,Emerging,Annex_II,Northern Africa,MENA,no_mech,Other
SLV,El Salvador,60.0,60.0,SLV,El Salvador,FALSE,El Salvador,El Salvador,El Salvador,60.0,El Salvador,222,222,3,TRUE,60.0,NA,Central America,1.0,El Salvador,Latin America and the Caribbean,Latin America and Caribbean,LACA,Latin America and the Caribbean,Americas,Americas,Latin America and the Caribbean,Central America,Emerging,Annex_II,Caribbean & Centra Am.,LACA,no_mech,Other
GNQ,Equatorial Guinea,61.0,61.0,GNQ,Equatorial Guinea,FALSE,Equatorial Guinea,Equatorial Guinea,,61.0,Equatorial Guinea,226,226,6,FALSE,999.0,NA,Western Africa,1.0,Equatorial Guinea,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Central Africa,Emerging,Annex_II,Middle Africa,SAA,no_mech,Other
ERI,Eritrea,175.0,178.0,ERI,Eritrea,FALSE,Eritrea,Eritrea,Eritrea,178.0,Eritrea,232,232,7,TRUE,178.0,NA,Eastern Africa,1.0,Eritrea,Subsaharan Africa,Sub-saharan Africa,SSA,Sub-Saharan Africa,Africa,Africa,Sub-Saharan Africa,Eastern Africa,Emerging,Annex_II,Eastern Africa,SAA,no_mech,Other
