item_prod,item_code_prod,item_cbs,item_code_cbs,group,Live_anim,Live_anim_code,Cat_Krausmann,Name_biomass,Name_Eurostat,Name,Cat_Labour,Cat_FAO1,Cat_Origin,Cat_Use,Order,Categ,Farm_class,c3_c4,ann_per_nfx
Tung nuts,275,"Oilcrops, Other",2570.0,Primary crops,,,"Rapeseed, oil crops",Nuts nes,,Nuts_nes,Oil_Crops_fruits,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,Fruits,c3,per
Jojoba seeds,277,"Oilcrops, Other",2570.0,Primary crops,,,"Rapeseed, oil crops","Oilcrops, other",,Sunflowerseed,Oil_Crops_extensive,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,Other_crops,c3,per
Safflower seed,280,"Oilcrops, Other",2570.0,Primary crops,,,"Rapeseed, oil crops",Safflower,,Safflowerseed,Oil_Crops_extensive,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,COP,c3,per
"Safflower-seed oil, crude",281,"Oilcrops Oil, Other",2586.0,Crop products,,,,"Oilcrops oil, other",,,,,,,,,,c3,per
Sesame seed,289,Sesame seed,2561.0,Primary crops,,,"Rapeseed, oil crops","Oilcrops, other",,Sunflowerseed,Oil_Crops_extensive,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,COP,c3,per
Oil of sesame seed,290,Sesameseed Oil,2579.0,Crop products,,,,"Oilcrops oil, other",,,,,,,,,,c3,per
Mustard seed,292,Rape and Mustardseed,2558.0,Primary crops,,,"Rapeseed, oil crops",Mustard,,Sunflowerseed,Oil_Crops_extensive,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,COP,c3,per
Poppy seed,296,"Oilcrops, Other",2570.0,Primary crops,,,"Rapeseed, oil crops",Poppy seeds,,Other,Oil_Crops_extensive,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,COP,c3,per
Melonseed,299,"Oilcrops, Other",2570.0,Primary crops,,,"Rapeseed, oil crops","Oilcrops, other",,Sunflowerseed,Oil_Crops_extensive,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,Vegetables,c3,per
Tallowtree seed,305,"Oilcrops, Other",2570.0,Primary crops,,,"Rapeseed, oil crops","Oilcrops, other",,Woody_other,Other,Other food nes,Sugar and Stimulants,"Beverages, sugar and stimulants",1.0,"Stimulants, spices",Fruits,c3,per
Kapok fruit,310,Kapok fruit,310.0,Primary crops,,,Permanent crops,Fruits,,Fruits_nes,Oil_Crops_fruits,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,Fruits,c3,per
Kapokseed in shell,311,"Oilcrops, Other",2570.0,Primary crops,,,"Rapeseed, oil crops","Oilcrops, other",,Sunflowerseed,,,,,,,,,
"Seed cotton, unginned",328,Seed cotton,328.0,Primary crops,,,Permanent crops,Seed cotton,,Seed_cotton,Oil_Crops_extensive,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,COP,c3,per
Cotton seed,329,Cottonseed,2559.0,Primary crops,,,Permanent crops,Cottonseed,,,,,,,,,,,
Cottonseed oil,331,Cottonseed Oil,2575.0,Crop products,,,,"Oilcrops oil, other",,,,,,,,,,,
Linseed,333,"Oilcrops, Other",2570.0,Primary crops,,,"Rapeseed, oil crops",Linseed,,Linseed,Oil_Crops_extensive,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,Other_crops,c3,per
Oil of linseed,334,"Oilcrops Oil, Other",2586.0,Crop products,,,,"Oilcrops oil, other",,,,,,,,,,c3,per
Hempseed,336,"Oilcrops, Other",2570.0,Primary crops,,,"Rapeseed, oil crops",Hemp seed,,Hempseed,Oil_Crops_extensive,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,Other_crops,c3,per
"Other oil seeds, n.e.c.",339,"Oilcrops, Other",2570.0,Primary crops,,,"Rapeseed, oil crops","Oilcrops, other",,Sunflowerseed,Oil_Crops_extensive,Oil Crops,Oil Crops,Oils and Fats,1.0,Oil crops,COP,c3,per
Cabbages,358,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,"Cabbage, Broccoli",,Cabbages,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
Artichokes,366,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,Artichoke,,Artichokes,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
Asparagus,367,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,Asparagus,,Asparagus,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
Lettuce and chicory,372,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,Lettuce,,Lettuce_chicory,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
Spinach,373,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,Spinach,,Spinach,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
Cassava leaves,378,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,"Vegetables, other",,Vegetables_nes,Vegetables,Fodder crops,Fodder crops,Fodder crops,1.0,Fodder crops,COP,c3,ann
Tomatoes,388,Tomatoes and products,2601.0,Primary crops,,,Permanent crops,Tomato,,Tomatoes,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
Cauliflowers and broccoli,393,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,Cauliflower,,Caulifowers_broccoli,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
"Pumpkins, squash and gourds",394,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,"Squash, pumpkin",,Pumpkins,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
Cucumbers and gherkins,397,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,Cucumber,,Cucumbers,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
Eggplants (aubergines),399,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,Aubergine,,Aubergines,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",401,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,Pepper,,Peppers_green,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
"Onions and shallots, green",402,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,Onion,,Onions,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
"Onions and shallots, dry (excluding dehydrated)",403,Onions,2602.0,Primary crops,,,Permanent crops,Onion,,Onions,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
Green garlic,406,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,Garlic,,Garlic,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
Leeks and other alliaceous vegetables,407,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,Leek,,Leeks,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
"Other beans, green",414,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,"Beans, green",,Beans_green,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables Primary,Vegetables,c3,ann
"Peas, green",417,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,"Pea, green, with pod",,Peas_green,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables Primary,Vegetables,c3,ann
"Broad beans and horse beans, green",420,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,"Pea, green, with pod",,Peas_green,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
String beans,423,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,Pulses nes,,Pulses_nes,Pulses,Pulses,Vegetables and Fruits,Vegetables and Fruits,1.0,Pulses,COP,c3,ann
Carrots and turnips,426,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,Carrot,,Carrots_turnips,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
Okra,430,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,"Vegetables, other",,Vegetables_nes,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
Green corn (maize),446,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,"Vegetables, other",,Vegetables_nes,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Other_crops,c3,ann
Mushrooms and truffles,449,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,Mushrooms,,Mushrooms,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
Chicory roots,459,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,Chicory roots,,Vegetables_nes,Roots and Tubers,Roots and Tubers,Vegetables and Fruits,Vegetables and Fruits,1.0,Roots and tubers,Other_crops,c3,ann
Locust beans (carobs),461,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,Carob,,Carobs,Berries,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,nfx
"Other vegetables, fresh n.e.c.",463,"Vegetables, Other",2605.0,Primary crops,,,Permanent crops,"Vegetables, other",,Vegetables_nes,Vegetables,Vegetables Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Vegetables,Vegetables,c3,ann
Bananas,486,Bananas,2615.0,Primary crops,,,Permanent crops,"Bananas, platains",,Bananas,Fruit_tree,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,per
