item_cbs,item_code_cbs,comm_code,proc_code,proc,unit,group,feedtype_graniv,feedtype_grazers,comm_group,Cat_1,Name_biomass,dbMFA_items,FEDNA,default_destiny
Palm kernels,2562.0,p2562,p028,Oil Palm production,tonnes,Primary crops,crops,crops,Oil crops,Oilseeds,Oil palm,Animal Feed Processed,HNA.GIRASOL 33,Processing
Seed cotton,328.0,p328,p025,Cotton production,tonnes,Primary crops,crops,crops,Oil crops,Fibres,Seed cotton,Animal Feed Processed,0,Feed
Hemp,776.0,p776,p122,Hemp production,tonnes,Primary crops,crops,crops,Oil crops,Fibres,"Fibres, other","Fibres, other",0,Food
Kapok fruit,310.0,p310,p123,Kapok production,tonnes,Primary crops,crops,crops,Oil crops,Fibres,"Fibres, other","Fibres, other",0,Food
Linum,772.0,p772,p124,Linum production,tonnes,Primary crops,crops,crops,Oil crops,Fibres,"Fibres, other","Fibres, other",0,Food
Soyabeans,2555.0,p2555,p021,Soyabeans production,tonnes,Primary crops,crops,crops,Oil crops,Oilseeds,Soyabeans,Processed Food,HABA SOJA TOSTADA,Feed
Coconuts - Incl Copra,2560.0,p2560,p026,Coconuts production,tonnes,Primary crops,crops,crops,Oil crops,Oilseeds,Coconut,Processed Food,0,Other_uses
Sesame seed,2561.0,p2561,p027,Sesame seed production,tonnes,Primary crops,crops,crops,Oil crops,Oilseeds,"Oilcrops, other",Processed Food,SEMILLA LINO,Other_uses
Sunflower seed,2557.0,p2557,p023,Sunflower seed production,tonnes,Primary crops,crops,crops,Oil crops,Oilseeds,Sunflower seed,Processed Food,SEMILLA GIRASOL,Food
Rape and Mustardseed,2558.0,p2558,p024,Rape and Mustardseed production,tonnes,Primary crops,crops,crops,Oil crops,Oilseeds,Rape,Processed Food,SEMILLA COLZA 00 ,Food
Olives (including preserved),2563.0,p2563,p029,Olives production,tonnes,Primary crops,crops,crops,Oil crops,Olives,Olive,Processed Food,0,Food
"Oil, palm fruit",254.0,p254,p028,Oil Palm production,tonnes,Primary crops,crops,crops,Oil crops,Oilseeds,Oil palm,Processed Food,#N/A,Food
Coconuts,248.0,p248,p026,Coconuts production,tonnes,Primary crops,crops,crops,Oil crops,Oilseeds,Coconut,Processed Food,#N/A,Food
"Oilcrops, Other",2570.0,p2570,p030,"Oilcrops production, Other",tonnes,Primary crops,crops,crops,Oil crops,Oilseeds,"Oilcrops, other",Processed Food,SEMILLA LINO,Food
Yams,2535.0,p2535,p014,Yams production,tonnes,Primary crops,crops,crops,Roots and tubers,Roots_tubers,"Roots, other",Tuber and roots,0,Food
Cassava and products,2532.0,p2532,p011,Cassava production,tonnes,Primary crops,crops,crops,Roots and tubers,Roots_tubers,Cassava,Tuber and roots,MANDIOCA 65,Food
Potatoes and products,2531.0,p2531,p010,Potatoes production,tonnes,Primary crops,crops,crops,Roots and tubers,Roots_tubers,Potato,Tuber and roots,PATATA,Food
"Roots, Other",2534.0,p2534,p013,"Roots production, Other",tonnes,Primary crops,crops,crops,Roots and tubers,Roots_tubers,"Roots, other",Tuber and roots,BATATA,Food
Sweet potatoes,2533.0,p2533,p012,Sweet potatoes production,tonnes,Primary crops,crops,crops,Roots and tubers,Roots_tubers,Sweet potato,Tuber and roots,BATATA,Food
Sugar beet,2537.0,p2537,p016,Sugar beet production,tonnes,Primary crops,crops,crops,Sugar crops,Sugar_crops,Sugar beet,Sugar,PULPA REMOLACHA PROMEDIO,Food
Sugar cane,2536.0,p2536,p015,Sugar cane production,tonnes,Primary crops,crops,crops,Sugar crops,Sugar_crops,Sugarcane,Sugar,0,Food
Rubber,2672.0,p2672,p060,Rubber production,tonnes,Primary crops,crops,crops,"Tobacco, rubber",Fibres,Rubber,Rubber,0,Food
Tobacco,2671.0,p2671,p059,Tobacco production,tonnes,Primary crops,crops,crops,"Tobacco, rubber",Spices,Tobacco,Tobacco,0,Food
Palm Oil,2577.0,p2577,p028,Oil Palm production,tonnes,Primary crops,crops,crops,Vegetable oils,Oil,Palm oil,Oils,AC. PALMISTE,Food
