polity_name,polity_code
Regional Centres (FAO) (2.5.1.a),F5822-1800-2025
Romania,ROU-1859-2025
Romania (1913-1918),RUM-1913-1918
Romania (1918-1919),RUM-1918-1919
Romania (1919-1920),RUM-1919-1920
Romania (1920-1940),RUM-1920-1940
Romania (to 1913),RUM-1800-1913
Russian Federation,RUS-1991-2025
Rwanda,RWA-1800-2025
Rwanda and Burundi,RWA-1919-2025
Ryukyu Islands,RYU-1800-1982
Réunion,REU-1816-2025
Sabah (British Borneo),SAB-1888-2025
Saint Barthélemy,BLM-2007-2025
"Saint Helena, Ascension and Tristan da Cunha",SHN-1800-2025
Saint Kitts and Nevis,KNA-1800-2025
Saint Kitts-Nevis-Anguilla,SAI-1800-1982
Saint Lucia,LCA-1800-2025
Saint Martin (French part),MAF-2007-2025
Saint Pierre and Miquelon,SPM-1800-2025
Saint Vincent and the Grenadines,VCT-1800-2025
Samoa,WSM-1900-2025
San Marino,SMR-1800-2025
Sao Tome and Principe,STP-1800-2025
Sarawak,SAR-1841-2025
Sardinia,SAR-1800-1860
Sark,F285-2011-2023
Saudi Arabia,SAU-1924-2025
Saudi Arabia (1932-2000),SAU-1932-2000
Senegal,SEN-1800-2025
Serbia,SRB-2006-2025
Serbia (1913-1915),SER-1913-1915
Serbia (2006-2008),SER-2006-2008
Serbia (to 1913),SER-1800-1913
Serbia and Montenegro,SCG-1992-2006
Serbia/Yugoslavia,SER-1816-2025
Seychelles,SYC-1903-2025
Sharjah,SHA-1800-2025
Siam (Thailand),SIA-1800-2025
Sierra Leone,SLE-1800-2025
Sikkim,SIK-1800-2025
Singapore,SGP-1800-2025
Sint Maarten (Dutch part),SXM-2010-2025
Slovakia,SVK-1993-2025
Slovenia,SVN-1992-2025
Small Island Developing States (SIDS),F5803-1800-2025
Society Islands  (Tahiti),SOC-1844-1903
Solomon Islands,SLB-1885-2025
Somalia,SOM-1800-2025
South Africa,ZAF-1828-2025
South America,F5207-1800-2025
South Australia,SOU-1838-1900
South Georgia and the South Sandwich Islands,SGS-1800-2025
South Korea,KOR-1800-2025
South Sudan,SSD-2011-2025
South Vietnam (1954-1975),VIE-1954-1975
South Yemen,F247-1800-1990
South Yemen (1967-1990),YEM-1967-1990
South-Central Asia,F5306-1800-2005
South-eastern Asia,F5304-1800-2025
Southern Africa,F5104-1800-2025
Southern Asia,F5303-2005-2025
Southern Asia (excluding India),F5855-1800-2025
Southern Europe,F5403-1800-2025
Spain,ESP-1800-2025
Spanish Guinea,SPA-1858-2025
Spanish North Africa,SPA-1800-1982
Sri Lanka,LKA-1800-2025
St Martin and St Barthélemy,STM-1816-1878
St. Helena,ST.-1800-2025
St. Lucía,ST.-1800-1838
St. Vincent,ST.-1800-1833
Straits Settlement,STR-1826-1922
Sub-Saharan Africa,F420-2017-2025
Sub-Saharan Africa (including Sudan),F5810-1800-2025
Sudan,SDN-2011-2025
Sudan (1956-2011),SUD-1956-2011
Sudan (Anglo-Egyptian),SUD-1882-2025
Sudan (old),F206-1800-2011
Suriname,SUR-1800-2025
Svalbard and Jan Mayen,SJM-1800-2025
Sweden,SWE-1800-2025
Sweden (to 1905),SWE-1800-1905
Switzerland,CHE-1800-2025
Syria and Lebanon,SYR-1918-2025
Syrian Arab Republic,SYR-1800-2025
Syrian Arab Republic (1946-1967),SYR-1946-1967
Taiwan,TWN-1800-2025
Tajikistan,TJK-1991-2025
Tanzania,TZA-1800-2025
Tanzania (1961-1964),TAN-1961-1964
Thailand,THA-1800-2025
Thailand (1893-1904),THA-1893-1904
Thailand (1904-1907),THA-1904-1907
