chaudhary_country_num,chaudhary_country,land_use_type,intensity,cf_mean,cf_lo,cf_hi
196,SAUDI_ARABIA,crop,light,1.7381959111803544e-14,1.0999726347739924e-14,2.470478637559219e-14
196,SAUDI_ARABIA,crop,intense,1.7551867978753877e-14,1.159260778527545e-14,2.471361174825023e-14
197,ST__KITTS_AND_NEVIS,pasture,minimal,4.231354577730643e-12,2.878164923129214e-12,6.29131931254297e-12
197,ST__KITTS_AND_NEVIS,pasture,light,4.685825494161912e-12,3.292653066339108e-12,6.768826121948117e-12
197,ST__KITTS_AND_NEVIS,pasture,intense,5.086910963932606e-12,3.4340616456731856e-12,7.39876233930864e-12
197,ST__KITTS_AND_NEVIS,crop,minimal,4.272739859124682e-12,2.8502381356486643e-12,6.374841146267962e-12
197,ST__KITTS_AND_NEVIS,crop,light,4.851051239507195e-12,3.170564098670497e-12,7.1762794751057175e-12
197,ST__KITTS_AND_NEVIS,crop,intense,4.950184095471104e-12,3.3671818518809857e-12,7.188328752023868e-12
198,SEYCHELLES,pasture,minimal,3.796225422487307e-11,2.9032831021520814e-11,4.719883961013088e-11
198,SEYCHELLES,pasture,light,4.096990677669503e-11,3.262867997820257e-11,4.960029785654821e-11
198,SEYCHELLES,pasture,intense,4.362424826765681e-11,3.385541189910703e-11,5.2768348939920766e-11
198,SEYCHELLES,crop,minimal,3.677313408966189e-11,2.736578347653552e-11,4.6391361944848604e-11
198,SEYCHELLES,crop,light,4.099554789109985e-11,3.03604201676751e-11,5.0888720878492095e-11
198,SEYCHELLES,crop,intense,4.1718828771091487e-11,3.219858842616008e-11,5.0956215890496316e-11
199,SOUTH_AFRICA,pasture,minimal,2.1968105139920178e-13,1.3419486311321237e-13,3.5603132678524994e-13
199,SOUTH_AFRICA,pasture,light,2.3423416575763797e-13,1.4903828132486894e-13,3.6708088389648767e-13
199,SOUTH_AFRICA,pasture,intense,2.447545122663372e-13,1.5366929776783584e-13,3.7764253540981066e-13
199,SOUTH_AFRICA,crop,minimal,2.2253619031541165e-13,1.3097431875415498e-13,3.594581052154709e-13
199,SOUTH_AFRICA,crop,light,2.393215940887894e-13,1.4301751805681158e-13,3.7457451150277194e-13
199,SOUTH_AFRICA,crop,intense,2.4178285802139753e-13,1.4985806749806517e-13,3.7475218031555454e-13
200,SENEGAL,pasture,minimal,5.5161957612582587e-14,3.909271048677447e-14,7.878133734232163e-14
200,SENEGAL,pasture,light,5.641818811064135e-14,4.060538058660286e-14,7.961592033112194e-14
200,SENEGAL,pasture,intense,5.73412294337856e-14,4.1077106115890594e-14,8.041539991628253e-14
200,SENEGAL,crop,minimal,5.3923634276040695e-14,3.5758215393541416e-14,7.842713462728728e-14
200,SENEGAL,crop,light,5.6034872039166965e-14,3.7686942510821385e-14,7.99481547625781e-14
200,SENEGAL,crop,intense,5.634598531444225e-14,3.877838791535525e-14,7.996576391947459e-14
201,ST__HELENA,pasture,minimal,1.0540727248241715e-12,3.527447470562373e-13,1.7691581791661772e-12
201,ST__HELENA,pasture,light,1.3456833917198555e-12,6.339315332229582e-13,2.012996359099284e-12
201,ST__HELENA,pasture,intense,1.6030342108127112e-12,7.298521082478838e-13,2.3346741038913954e-12
201,ST__HELENA,crop,minimal,2.4495532513740865e-11,1.8555522130652045e-11,3.112178582679634e-11
201,ST__HELENA,crop,light,2.7080157622259384e-11,2.0140345276882043e-11,3.4172061717193486e-11
201,ST__HELENA,crop,intense,2.7523961365104822e-11,2.1112976287749372e-11,3.4218035489603056e-11
202,SLOVENIA,pasture,minimal,5.27274511644105e-14,3.025799442359298e-14,8.21939238296332e-14
202,SLOVENIA,pasture,light,5.938856980915395e-14,3.729797529329569e-14,8.780200571075007e-14
202,SLOVENIA,pasture,intense,6.510488188870426e-14,3.969850877462142e-14,9.489511264867358e-14
202,SLOVENIA,crop,minimal,5.369815328095641e-14,3.128952718034057e-14,8.26923519700074e-14
202,SLOVENIA,crop,light,6.189049367919507e-14,3.6429442220545846e-14,9.198665437416894e-14
202,SLOVENIA,crop,intense,6.326856917743673e-14,3.959165683405693e-14,9.21224334249555e-14
203,SIERRA_LEONE,pasture,minimal,4.640877075895898e-13,3.9504130984841853e-13,5.604181742585851e-13
203,SIERRA_LEONE,pasture,light,4.717065062203425e-13,4.0361493167881737e-13,5.670331324810296e-13
203,SIERRA_LEONE,pasture,intense,4.785841618493844e-13,4.065578404252153e-13,5.756697131091196e-13
203,SIERRA_LEONE,crop,minimal,4.2380640015102724e-13,3.3511934308682507e-13,5.317357752766485e-13
203,SIERRA_LEONE,crop,light,4.4373196487293186e-13,3.495745226714949e-13,5.53508622060241e-13
203,SIERRA_LEONE,crop,intense,4.472180485710858e-13,3.585594964633099e-13,5.538347904972865e-13
204,SAN_MARINO,pasture,minimal,8.1592271159053e-14,3.912144459522627e-14,1.3797874737397867e-13
